company
"Alma Media"
"Amaroq Minerals Ltd."
"AQ Group AB"
"Atrium Ljungberg AB"
"Bactiguard Holding AB"
"Baltic Horizon Fund / Northern Horizon Capital"
"Bavarian Nordic A/S"
"Bong AB"
"Brd. Klee A/S"
"Cantargia AB"
"Cargotec"
"CoinShares International Ltd"
"Consti Oyj"
"C WorldWide"
"Danmarks Nationalbank"
"Danske Invest"
"DLR Kredit A/S"
"Doro AB"
"Duroc AB"
"Eezy Oyj"
"Endomines Finland Oyj"
"Enea AB"
"Gofore Oyj"
"HKFoods Oyj"
"Holmen AB"
"Holmström Fastigheter Holding AB"
"Investeringsforeningen Great Dane"
"Investeringsforeningen PortfolioManager"
"Investment AB Öresund"
"ITAB Shop Concept AB"
"Jetpak Top Holding AB"
"Keskisuomalainen Oyj"
"Kesko Oyj"
"Kuntarahoitus Oyj."
"LKAB Luossavaara-Kiirunavaara AB"
"Martela Oyj"
"Míla Holding hf."
"Millicom International Cellular S.A."
"Nanologica AB"
"NAXS AB"
"Netcompany Group A/S"
"Novedo Holding AB"
"Nyfosa AB"
"Nykredit Realkredit A/S"
"Open Infra AB (publ)"
"Optomed Oyj"
"Orkuveita Reykjavíkur"
"Orphazyme A/S"
"Ovaro Kiinteistösijoitus Oyj"
"Reitir fasteignafélag hf."
"Relais Group Oyj"
"Remedy Entertainment Oyj"
"Rockwool A/S"
"Sampo"
"Scandic Hotels Group AB"
"Scandinavian Investment Group A/S"
"Senzime AB"
"Síldarvinnslan hf"
"Sparinvest"
"Sparinvest SICAV"
"Storskogen Group AB"
"Swedbank AB"
"Sydbank A/S"
"Terveystalo Oyj"
"Tornator Oyj"
"United Bankers Oyj"
"Værdipapirfonden Sparindex"
"Valmet Corporation"
"Wästbygg Gruppen AB"
"Xbrane Biopharma AB"
