issuer,ticker,yf_ticker,isin,asset_class,sector,exchange,exchange_code,country,url
ASUSTeK Computer Inc.,ASUUY,ASUUY,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ASUUY:NASDAQ
NextNav Inc.,NN,NN,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/NN:NASDAQ
"Intapp, Inc.",INTA,INTA,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/INTA:NASDAQ
SecureWorks Corp.,SCWX,SCWX,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/SCWX:NASDAQ
Artificial Intelligence Technology Solutions Inc.,AITX,AITX,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/AITX:NASDAQ
Wearable Devices Ltd.,WLDSW,WLDSW,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/WLDSW:NASDAQ
Mobile-health Network Solutions,MNDR,MNDR,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/MNDR:NASDAQ
"Sacks Parente Golf, Inc.",SPGC,SPGC,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/SPGC:NASDAQ
"Phunware, Inc.",PHUN,PHUN,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/PHUN:NASDAQ
STMicroelectronics N.V.,STM,STM,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/STM:NASDAQ
Microchip Technology Incorporated,MCHP,MCHP,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/MCHP:NASDAQ
VERSES AI Inc.,VRSSF,VRSSF,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/VRSSF:NASDAQ
Dayforce Inc,DAY,DAY,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/DAY:NASDAQ
Telos Corporation,TLS,TLS,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/TLS:NASDAQ
"Bullfrog AI Holdings, Inc.",BFRG,BFRG,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/BFRG:NASDAQ
EverCommerce Inc.,EVCM,EVCM,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/EVCM:NASDAQ
Canoo Inc.,GOEV,GOEV,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/GOEV:NASDAQ
"Mercury Systems, Inc.",MRCY,MRCY,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/MRCY:NASDAQ
Bilibili Inc.,BILI,BILI,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/BILI:NASDAQ
Tower Semiconductor Ltd.,TSEM,TSEM,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/TSEM:NASDAQ
Gilat Satellite Networks Ltd.,GILT,GILT,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/GILT:NASDAQ
Riber S.A.,ALRIB.PA,ALRIB.PA,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/ALRIB.PA:NASDAQ
Innofactor Oyj,IFA1V.HE,IFA1V.HE,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/IFA1V.HE:NASDAQ
"Phunware, Inc.",PHUN,PHUN,,equity,semiconductors,nasdaq_us,NASDAQ,US,https://www.google.com/finance/quote/PHUN:NASDAQ
