issuer,ticker,yf_ticker,isin,asset_class,exchange,exchange_code,country,url
BERGEN CARBON SOLUTIONS AS,BCS,BCS.OL,NO0010950249,equity,Euronext Growth Oslo,MERK,NOR,https://live.euronext.com/en/product/equities/NO0010950249-MERK/market-information
BE Semiconductor Industries N.V.,BESI,BESI.AS,NL0012866412,equity,Euronext Amsterdam,XAMS,NL,https://live.euronext.com/en/product/equities/NL0012866412-XAMS/market-information
BIC,BB,BB.PA,FR0000120966,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0000120966-XPAR/market-information
BILENDI,ALBLD,ALBLD.PA,FR0004174233,equity,Euronext Growth Paris,ALXP,FRA,https://live.euronext.com/en/product/equities/FR0004174233-ALXP/market-information
BLACK SEA PROPERTY,BSP,BSP.OL,NO0010755101,equity,Euronext Growth Oslo,MERK,NOR,https://live.euronext.com/en/product/equities/NO0010755101-MERK/market-information
BlueNord ASA,BNOR,BNOR.OL,NO0010379266,equity,Oslo Børs,XOSL,NOR,https://live.euronext.com/en/product/equities/NO0010379266-XOSL/market-information
BONDUELLE,BON,BON.PA,FR0000063935,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0000063935-XPAR/market-information
BORR DRILLING,BORR,BORR.OL,BMG1466R1732,equity,Oslo Børs,XOSL,NOR,https://live.euronext.com/en/product/equities/BMG1466R1732-XOSL/market-information
Boussard Gavaudan,BGHL,BGHL.AS,GG00B1FQG453,equity,Euronext Amsterdam,XAMS,NL,https://live.euronext.com/en/product/equities/GG00B1FQG453-XAMS/market-information
BOUSSARD GAVAUDAN HOLD LTD GBP,BGHS,BGHS.L,GG00B39VMM07,equity,Euronext Amsterdam,XAMS,NL,https://live.euronext.com/en/product/equities/GG00B39VMM07-XAMS/market-information
BOUYGUES,EN,EN.PA,FR0000120503,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0000120503-XPAR/market-information
BPOST,BPOST,BPOST.BR,BE0974268972,equity,Euronext Brussels,XBRU,BE,https://live.euronext.com/en/product/equities/BE0974268972-XBRU/market-information
Brage Finans AS,20/30 FRN C SUB,,NO0010886278,bonds,Nordic Alternative Bond Market,XOAM,NOR,https://live.euronext.com/en/product/bonds/NO0010886278-XOAM/market-information
BRUNEL INTERNAT,BRNL,BRNL.AS,NL0010776944,equity,Euronext Amsterdam,XAMS,NL,https://live.euronext.com/en/product/equities/NL0010776944-XAMS/market-information
BUREAU VERITAS,BVI,BVI.PA,FR0006174348,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0006174348-XPAR/market-information
BW LPG,BWLPG,BWLPG.OL,SGXZ69436764,equity,Oslo Børs,XOSL,NOR,https://live.euronext.com/en/product/equities/SGXZ69436764-XOSL/market-information
CARBIOS,ALCRB,ALCRB.PA,FR0011648716,equity,Euronext Growth Paris,ALXP,FRA,https://live.euronext.com/en/product/equities/FR0011648716-ALXP/market-information
CARE PROPERTY INVEST,CPINV,CPINV.BR,BE0974273055,equity,Euronext Brussels,XBRU,BE,https://live.euronext.com/en/product/equities/BE0974273055-XBRU/market-information
CASINO GUICHARD,CO,CO.PA,FR001400OKR3,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR001400OKR3-XPAR/market-information
CEGEDIM,CGM,CGM.PA,FR0000053506,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0000053506-XPAR/market-information
CELLECTIS,ALCLS,ALCLS.PA,FR0010425595,equity,Euronext Growth Paris,ALXP,FRA,https://live.euronext.com/en/product/equities/FR0010425595-ALXP/market-information
CENERGY,CENER,CENER.BR,BE0974303357,equity,Euronext Brussels,XBRU,BE,https://live.euronext.com/en/product/equities/BE0974303357-XBRU/market-information
CLARANOVA,CLA,CLA.PA,FR0013426004,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0013426004-XPAR/market-information
CLASQUIN,ALCLA,ALCLA.PA,FR0004152882,equity,Euronext Growth Paris,ALXP,FRA,https://live.euronext.com/en/product/equities/FR0004152882-ALXP/market-information
CLEAN SEAS SEAFOOD LIMITED,CSS,CSS.AX,AU000000CSS3,equity,Euronext Growth Oslo,MERK,AUS,https://live.euronext.com/en/product/equities/AU000000CSS3-MERK/market-information
CODELAB CAPITAL AS,CODE,CODE.OL,NO0010895667,equity,Euronext Growth Oslo,MERK,NOR,https://live.euronext.com/en/product/equities/NO0010895667-MERK/market-information
COHERIS,COH,COH.PA,FR0004031763,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0004031763-XPAR/market-information
COOL COMPANY LTD.,CLCO,CLCO.OL,BMG2415A1137,equity,Euronext Growth Oslo,MERK,NOR,https://live.euronext.com/en/product/equities/BMG2415A1137-MERK/market-information
Corticeira Amorim-SGPS,COR,COR.LS,PTCOR0AE0006,equity,Euronext Lisbon,XLIS,POR,https://live.euronext.com/en/product/equities/PTCOR0AE0006-XLIS/market-information
CRCAM ALP.PROV.CCI,CRAP,CRAP.PA,FR0000044323,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0000044323-XPAR/market-information
CRCAM BRIE PIC2CCI,CRBP2,CRBP2.PA,FR0010483768,equity,Euronext Paris,XPAR,FRA,https://live.euronext.com/en/product/equities/FR0010483768-XPAR/market-information
CROSSJECT,ALCJ,ALCJ.PA,FR0011716265,equity,Euronext Growth Paris,ALXP,FRA,https://live.euronext.com/en/product/equities/FR0011716265-ALXP/market-information
CTP NV,CTPNV,CTPNV.AS,NL00150006R6,equity,Euronext Amsterdam,XAMS,NL,https://live.euronext.com/en/product/equities/NL00150006R6-XAMS/market-information
