Datetime,TLSA,TLSA,TLSA,TLSA,TLSA
2025-01-21T14:40:00.000Z,0.7508999705314636,0.7508999705314636,0.7411999702453613,0.7411999702453613,24667
2025-01-21T14:45:00.000Z,0.7508999705314636,0.7508999705314636,0.7411999702453613,0.7411999702453613,1285
2025-01-21T14:50:00.000Z,0.7508999705314636,0.7508999705314636,0.7508999705314636,0.7508999705314636,1052
2025-01-21T14:55:00.000Z,0.7300000190734863,0.7409999966621399,0.7300000190734863,0.7398999929428101,5837
2025-01-21T15:00:00.000Z,0.7200999855995178,0.7250000238418579,0.7200000286102295,0.7210000157356262,8603
2025-01-21T15:05:00.000Z,0.7200000286102295,0.7300000190734863,0.7200000286102295,0.7300000190734863,7076
2025-01-21T15:10:00.000Z,0.7310000061988831,0.7310000061988831,0.7310000061988831,0.7310000061988831,2100
2025-01-21T15:15:00.000Z,0.7200000286102295,0.7200000286102295,0.7200000286102295,0.7200000286102295,1230
2025-01-21T15:20:00.000Z,0.7250999808311462,0.7264999747276306,0.7250999808311462,0.7264999747276306,5235
2025-01-21T15:25:00.000Z,0.7111999988555908,0.7225000262260437,0.7111999988555908,0.7200000286102295,18704
2025-01-21T15:30:00.000Z,0.7384999990463257,0.7384999990463257,0.7110999822616577,0.7110999822616577,2856
2025-01-21T15:45:00.000Z,0.7398999929428101,0.7398999929428101,0.7390000224113464,0.7390000224113464,3544
2025-01-21T15:55:00.000Z,0.7170000076293945,0.7398999929428101,0.7170000076293945,0.7398999929428101,385
2025-01-21T16:05:00.000Z,0.7200000286102295,0.7254999876022339,0.7200000286102295,0.7254999876022339,9190
2025-01-21T16:10:00.000Z,0.710099995136261,0.7106000185012817,0.710099995136261,0.7106000185012817,8067
2025-01-21T16:15:00.000Z,0.7300000190734863,0.7300000190734863,0.7127000093460083,0.7127000093460083,2100
2025-01-21T16:20:00.000Z,0.7110999822616577,0.7110999822616577,0.7110999822616577,0.7110999822616577,733
2025-01-21T16:30:00.000Z,0.7200000286102295,0.7299000024795532,0.7200000286102295,0.7299000024795532,1933
2025-01-21T16:45:00.000Z,0.7200999855995178,0.7299000024795532,0.710099995136261,0.710099995136261,600
2025-01-21T17:05:00.000Z,0.7200000286102295,0.7250000238418579,0.7200000286102295,0.7250000238418579,6452
2025-01-21T17:15:00.000Z,0.7240999937057495,0.7240999937057495,0.7240999937057495,0.7240999937057495,125
2025-01-21T17:30:00.000Z,0.710099995136261,0.710099995136261,0.710099995136261,0.710099995136261,505
2025-01-21T17:40:00.000Z,0.7175999879837036,0.7175999879837036,0.7175999879837036,0.7175999879837036,409
2025-01-21T17:45:00.000Z,0.7250000238418579,0.7250999808311462,0.7250000238418579,0.7250999808311462,336
2025-01-21T17:50:00.000Z,0.7106000185012817,0.7106000185012817,0.7106000185012817,0.7106000185012817,1130
2025-01-21T17:55:00.000Z,0.7164999842643738,0.7164999842643738,0.7164999842643738,0.7164999842643738,2400
2025-01-21T18:05:00.000Z,0.7251999974250793,0.7251999974250793,0.7251999974250793,0.7251999974250793,0
2025-01-21T18:10:00.000Z,0.7099999785423279,0.7207000255584717,0.7099999785423279,0.7110999822616577,25056
2025-01-21T18:20:00.000Z,0.710099995136261,0.710099995136261,0.710099995136261,0.710099995136261,0
2025-01-21T18:30:00.000Z,0.7398999929428101,0.7398999929428101,0.7200000286102295,0.7200000286102295,2418
2025-01-21T19:05:00.000Z,0.7250000238418579,0.7250000238418579,0.7250000238418579,0.7250000238418579,1707
2025-01-21T19:35:00.000Z,0.7398999929428101,0.7398999929428101,0.7398999929428101,0.7398999929428101,420
2025-01-21T19:40:00.000Z,0.739799976348877,0.739799976348877,0.7099999785423279,0.7099999785423279,1800
2025-01-21T19:45:00.000Z,0.7159000039100647,0.7250000238418579,0.7159000039100647,0.7250000238418579,412
2025-01-21T19:55:00.000Z,0.7200999855995178,0.7200999855995178,0.7200999855995178,0.7200999855995178,1296
2025-01-21T20:05:00.000Z,0.7398999929428101,0.7398999929428101,0.7398999929428101,0.7398999929428101,0
2025-01-21T20:15:00.000Z,0.7258999943733215,0.7258999943733215,0.7258999943733215,0.7258999943733215,2284
2025-01-21T20:20:00.000Z,0.739799976348877,0.739799976348877,0.739799976348877,0.739799976348877,2000
2025-01-21T20:25:00.000Z,0.7275000214576721,0.7275000214576721,0.7275000214576721,0.7275000214576721,0
2025-01-21T20:30:00.000Z,0.7149999737739563,0.7149999737739563,0.7149999737739563,0.7149999737739563,2469
2025-01-21T20:50:00.000Z,0.7250000238418579,0.7250000238418579,0.7250000238418579,0.7250000238418579,6000
2025-01-22T14:30:00.000Z,0.7099999785423279,0.7409999966621399,0.7099999785423279,0.7102000117301941,54257
2025-01-22T14:35:00.000Z,0.7254999876022339,0.7254999876022339,0.7254999876022339,0.7254999876022339,0
2025-01-22T14:40:00.000Z,0.7181000113487244,0.7181000113487244,0.7181000113487244,0.7181000113487244,400
2025-01-22T14:50:00.000Z,0.7254999876022339,0.7254999876022339,0.7254999876022339,0.7254999876022339,317
2025-01-22T14:55:00.000Z,0.7251999974250793,0.7251999974250793,0.710099995136261,0.710099995136261,4979
2025-01-22T15:00:00.000Z,0.7200000286102295,0.7400000095367432,0.7200000286102295,0.7400000095367432,887
2025-01-22T15:05:00.000Z,0.7102000117301941,0.7102000117301941,0.7102000117301941,0.7102000117301941,200
2025-01-22T15:10:00.000Z,0.7138000130653381,0.7250000238418579,0.7138000130653381,0.7250000238418579,6045
2025-01-22T15:15:00.000Z,0.7400000095367432,0.7400000095367432,0.710099995136261,0.7175999879837036,3897
