issuer,ticker,yf_ticker,isin,asset_class,exchange,exchange_code,country,url
East West Agro,EWA1L,EWA1L.RG,LT0000132060,equity,nasdaq_baltics,VSE,LT,https://nasdaqbaltic.com/statistics/en/instrument/LT0000132060/trading
INVL Baltic Real Estate,INR1L,INR1L.VS,LT0000127151,equity,nasdaq_baltics,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000127151/trading
EPSO-G,EPSO0311727A,N/A,LT0000406530,bonds,nasdaq_baltics,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000406530/trading
INVL Technology,INC1L,INC1L.VS,LT0000128860,equity,nasdaq_baltics,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000128860/trading
Siauliu Bankas,SAB1L,SAB1L.VS,LT0000102253,equity,nasdaq_baltics,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000102253/trading
Amber Beverage Group Holding S.Ã r.l.,AMBEFLOT27A,N/A,LV0000870137,bonds,nasdaq_baltics,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000870137/trading
Bigbank AS,BIGB070034A,N/A,EE3300004340,bonds,nasdaq_baltics,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3300004340/trading
TKM Grupp,TKM1T,TKM1T.TL,EE0000001105,equity,nasdaq_baltics,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE0000001105/trading
LITGRID,LGD1L,LGD1L.VS,LT0000128415,equity,nasdaq_baltics,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000128415/trading
Sun Finance Treasury Limited,SUNBFLOT26FA,SUNBFLOT26FA.RG,LV0000802692,bonds,nasdaq_baltics,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000802692/trading
Nasdaq Tallinn,N/A,N/A,,equity,nasdaq_baltics,,,
LHV Group,LHV1T,LHV1T.TL,EE3100102203,equity,nasdaq_baltics,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3100102203/trading
Kauno Energija,KNR1L,KNR1L.VS,LT0000123010,equity,nasdaq_baltics,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000123010/trading
Vilniaus Baldai,VBL1L,VBL1L.VS,LT0000104267,equity,nasdaq_baltics,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000104267/trading
Nasdaq Riga,N/A,N/A,,equity,nasdaq_baltics,,,
Akola group,AKO1L,AKO1L.VS,LT0000128092,equity,nasdaq_baltics,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000128092/trading
Civinity,CIVB110025FA,N/A,LT0000408197,bonds,nasdaq_baltics,VSE,LT,https://nasdaqbaltic.com/statistics/en/instrument/LT0000405748/trading
