company
"ONCODESIGN PRECISION MEDICINE"
"SWEDBANK AB"
"Strømmen Sparebank"
"NRJ GROUP"
"REMY COINTREAU"
"CLARANOVA"
"STOLT-NIELSEN"
"PBB"
"Aker Horizons ASA"
"Sparebanken Narvik"
"AMUNDI PHYSICAL GOLD ETC"
"IDI"
"BEKAERT"
"ENSURGE MICROPOWER ASA"
"STANDARD SUPPLY AS"
"DELFINGEN INDUSTRY"
"Kvinesdal Sparebank"
"BLACK SEA PROPERTY"
"UMICORE"
"TOTALENERGIES"
"SCANA"
"HOPSCOTCH GROUPE"
"NORSK HYDRO ASA"
"Volda kommune"
"BEERENBERG AS"
"Høland og Setskog Sparebank"
"CASINO GUICHARD"
"HEXAGON PURUS ASA"
"Sparebanken Møre"
"Bane NOR Eiendom AS"
"COOL COMPANY LTD."
"GROUPE BERKEM"
"Olav Thon Eiendomsselskap ASA"
"DELTA PLUS GROUP"
"SBM OFFSHORE"
"Norwegian Air Shuttle ASA"
"SØGNE OG GREIPSTAD SPAREBANK"
"Mutares SE & Co. K 23/27 FRN EUR FLOOR C"
"NORDIC AQUA PARTNERS AS"
"VAZIVA SA"
"EIFFAGE"
"EQUASENS"
"SOLOCAL GROUP"
"Hawk Infinity Softw AS 23/28 FRN FLOOR C"
"PARATUS ENERGY SERVICES LTD."
"VALLOUREC"
"XPLORA TECHNOLOGIES"
"FRONTLINE PLC"
"Wallenius Wilhelmsen ASA"
"NORDIC UNMANNED ASA"
"EURONEXT"
"HEXAOM"
"BOUSSARD GAVAUDAN HOLD LTD GBP"
"MACOMPTA.FR"
"RIBER"
"VEON"
"ATOS"
"ARVERNE GROUP"
"SHELL PLC"
"Vegfinans Viken AS"
"Tidewater Inc."
"ALTERNUS ENERGY GROUP PLC"
"VINCI"
"ELIX Rental Housing SOCIMI II,"
"ABIVAX"
"MCPHY ENERGY"
"FORVIA"
"PHOTOCURE"
"Oslofjord Sparebank"
"ECIT AS B-AKSJER"
"MON COURTIER ENERGIE GROUPE S.A."
"KLEA HOLDING"
"AELIS FARMA"
"SES"
"SpareBank 1 SMN"
"MIKO"
"ARTMARKET.COM(EX ARTPRICE.COM)"
"NYKODE THERAPEUTICS ASA"
"COHERIS"
"Lea bank ASA"
"REALITES"
"Sparebanken Din"
"WOLTERS KLUWER"
"Schibsted ASA"
"Helgeland Kraft AS"
"PERNOD RICARD"
"SALMON EVOLUTION ASA"
"NEPI ROCKCASTLE N.V."
"D.L.S.I."
"EUROPLASMA"
"Corticeira Amorim-SGPS"
"QUADIENT S.A."
"SPAREBANK 1 SØRØST-NORGE"
"Solis Bond Company 21/24 FRN EUR FLOOR C"
"OTELLO CORPORATION"
"NRC Group ASA"
"KINGDOM OF NORWAY"
"NETMEDIA GROUP"
"MICHELIN"
"GROUPE SFPI"
"GROUPE LDLC"
"ESSILORLUXOTTICA"
"-"
"Global InterConnection Group Limited"
"SpareBank 1 Østlandet"
"NFL BIOSCIENCES S.A."
"M.R.M"
"Ørland Sparebank"
"EXPLOSIFS PROD.CHI"
"VOW"
"SMCP"
"ADVINI"
"POLIGHT"
"KNOX ENERGY SOLUTIONS AS"
"Seacrest Petroleo Bermuda Limi"
"AKER BP"
"I2S"
"FIPP"
"ARCTIC BIOSCIENCE AS"
"EXACOMPTA CLAIREFONTAINE"
"Agder Sparebank"
"NYXOAH SA"
"AKOBO MINERALS AB (PUB)"
"SYENSQO"
"Steinkjerbygg Kf"
"EXACT THERAPEUTICS"
"SpareBank 1 SR-Bank ASA"
"UMALIS GROUP"
"FARMINVESTE"
"DNB BANK ASA"
"Å Energi AS"
"ESSO"
"CRCAM BRIE PIC2CCI"
"LIFECARE ASA"
"TME PHARMA"
"Tomra Systems ASA"
"Norwegian Property ASA"
"RENAULT"
"Felleskjøpet Agri SA"
"SOLVAY"
"SYNERGIE"
"PRECIA"
"BERGEN CARBON SOLUTIONS AS"
"Zalaris ASA"
"Oslo Kommune"
"SCHNEIDER ELECTRIC SE"
"INVENTIVA"
"CARBIOS"
"Archer Norge AS 23/27 FRN USD FLOOR C"
"NEL"
"CLEAN SEAS SEAFOOD LIMITED"
"Kistos Energy (Norway) AS"
"Omda AS"
"Statnett SF"
"BORR DRILLING"
"ABL GROUP ASA"
"BlueNord ASA"
"Brage Finans AS"
"ORANGE"
"AVENTADOR"
"EASE2PAY NV"
"Whitworth Midco Plc"
"Boussard Gavaudan"
"KERLINK"
"Sparebanken Sør"
"CARE PROPERTY INVEST"
"BE Semiconductor Industries N.V."
"Eviny AS"
"ELOPAK ASA"
"EAM SOLAR AS"
"Spareskillingsbanken"
"VIVENDI SE"
"BILENDI"
"ROMREAL"
"OSMOSUN S.A."
"Sunnhordland Kraftlag AS"
"Gjensidige Forsikring ASA"
"MPC CONTAINER SHIPS"
"NEKKAR"
"BALTIC SEA PROPERTIES"
"AUREA"
"SALMONES CAMANCHACA S.A."
"INTEXA"
"JACQUET METALS"
"Extenda Retail AB 22/27 FRN SEK FLOOR C"
"Trøndelag Sparebank"
"ATLANTIC SAPPHIRE"
"NOVABASE SGPS S.A."
"TIKEHAU CAPITAL"
"HAFNIA LIMITED"
