title,link,company,published_date,publisher,industry,publisher_topic
UAB Legal Balance financial information for 2024 H1,https://view.news.eu.nasdaq.com/view?id=b35a58fcca7bea817aa00b4b1a0ae23ad&lang=en&src=listed,Legal Balance,2024-09-20 16:18:36+03:00,Nasdaq Baltic,,
Changes in Iute Group's financial calendar for 2024,https://view.news.eu.nasdaq.com/view?id=b0fc1b847b8024811bffb324f6b0b9af1&lang=en&src=listed,IuteCredit Finance S.a r.l,2024-09-20 11:30:00+03:00,Nasdaq Baltic,,
Prolongation of authorities of members of the Supervisory Board of KIA Auto Aktsiaselts,https://view.news.eu.nasdaq.com/view?id=ba4e3c9ea89f2446dbf568dabbbae376d&lang=en&src=listed,TKM Grupp,2024-09-20 09:45:00+03:00,Nasdaq Baltic,,
Notice of address change for IPAS “Indexo” and INDEXO Bank,https://view.news.eu.nasdaq.com/view?id=b1a4b99f1352cea3bf703e243e9c8b61d&lang=en&src=listed,INDEXO,2024-09-20 09:15:38+03:00,Nasdaq Baltic,,
On Transactions Under Regulation No 596/2014,https://view.news.eu.nasdaq.com/view?id=b74a8ae6c489a7fa86faf41b6a75435b7&lang=en&src=listed,MADARA Cosmetics,2024-09-20 08:46:15+03:00,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 19, 2024",https://view.news.eu.nasdaq.com/view?id=b3fbd261604176b86787f051dc1858211&lang=en&src=listed,Nter Asset Management,2024-09-20 08:37:31+03:00,Nasdaq Baltic,,
"Establishment of a subsidiary, and conclusion of purchase contract for the properties of the ELP Logistics OÜ logistics center",https://view.news.eu.nasdaq.com/view?id=b1c28f1f51ff52a85630dbaec4a3b5cc3&lang=en&src=listed,EfTEN Real Estate Fund,2024-09-20 08:30:00+03:00,Nasdaq Baltic,,
"AB ""Pieno žvaigždės"" Unaudited Financial Results for the First Six Months of 2024",https://view.news.eu.nasdaq.com/view?id=b5012d284a5945cbc94f2150e29f8f2b2&lang=en&src=listed,Pieno Zvaigzdes,2024-09-19 19:00:00+03:00,Nasdaq Baltic,,
Draft decisions of the of Shareholders Meeting to be held on 03 October 2024,https://view.news.eu.nasdaq.com/view?id=ba2f55453df9bb9eed698f83f4896885d&lang=en&src=listed,Utenos Trikotazas,2024-09-19 17:00:00+03:00,Nasdaq Baltic,,
Deal of Latvian companies to result in state-of-the-art wind power plants,https://view.news.eu.nasdaq.com/view?id=bc7c545030c880b270eaf322976b06bf7&lang=en&src=listed,Latvenergo,2024-09-19 16:14:05+03:00,Nasdaq Baltic,,
On Transactions under Regulation No 596/2014,https://view.news.eu.nasdaq.com/view?id=b8b643fa38eb086235e794a9114e62cae&lang=en&src=listed,SAF Tehnika,2024-09-19 16:07:05+03:00,Nasdaq Baltic,,
Information on a significant transactions of the subsidiary companies,https://view.news.eu.nasdaq.com/view?id=b64e3bd4dab7cc79a86db925a4fc3cdcc&lang=en&src=listed,Amber Beverage Group Holding S.à r.l.,2024-09-19 14:18:41+03:00,Nasdaq Baltic,,
Decisions of the Shareholder's Meeting of Latvenergo AS,https://view.news.eu.nasdaq.com/view?id=b01f48992165056cf63311ca8e6083fdf&lang=en&src=listed,Latvenergo,2024-09-19 11:42:41+03:00,Nasdaq Baltic,,
Purchase of own shares of Rokiskio Suris AB,https://view.news.eu.nasdaq.com/view?id=bdae0c63c60c82c4af6a220520f026ec2&lang=en&src=notices,Nasdaq Vilnius,2024-09-19 10:03:09+03:00,Nasdaq Baltic,,
The new EPSO-G independent board member was elected,https://view.news.eu.nasdaq.com/view?id=b741ff89ab6aa777a8118c585fc717b20&lang=en&src=listed,EPSO-G,2024-09-19 09:45:00+03:00,Nasdaq Baltic,,
Primary placement auction of additional offers of Lithuanian Government Eurobonds,https://view.news.eu.nasdaq.com/view?id=be9334529c1e8b854950289a61a92b2e4&lang=en&src=notices,Nasdaq Vilnius,2024-09-19 09:41:52+03:00,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 18, 2024",https://view.news.eu.nasdaq.com/view?id=b04888ecb1d0d87c1b11e71162c89f4dd&lang=en&src=listed,Nter Asset Management,2024-09-19 09:37:56+03:00,Nasdaq Baltic,,
Enlight Research sketches possible scenarios for sale of INVL Technology,https://view.news.eu.nasdaq.com/view?id=b52ca3b8da8145dbf85f06845b1b62d23&lang=en&src=listed,INVL Technology,2024-09-19 09:14:00+03:00,Nasdaq Baltic,,
"AS VIRŠI-A acquires 20% of the capital shares of the biomethane plant SIA Livland Biomethane""",https://view.news.eu.nasdaq.com/view?id=b2564db5f0c0c843885a87e7f8a5b5553&lang=en&src=listed,VIRŠI-A,2024-09-18 18:48:06+03:00,Nasdaq Baltic,,
JSC Development Finance Institution Altum - Decisions Passed by Extraordinary Shareholders' Meeting,https://view.news.eu.nasdaq.com/view?id=ba84fb9e4b5efb2ebeca5abff94f45ebc&lang=en&src=listed,Attīstības finanšu institūcija Altum,2024-09-18 17:01:49+03:00,Nasdaq Baltic,,
On the acquisition of own shares of Rokiškio sūris AB,https://view.news.eu.nasdaq.com/view?id=b9d5f2cd8935711f050364c3982aa8bdd&lang=en&src=listed,Rokiskio Suris,2024-09-18 16:28:55+03:00,Nasdaq Baltic,,
Information about shares issued by INVL Technology and votes granted,https://view.news.eu.nasdaq.com/view?id=b641b667a9998c53ddfc3f67336370d46&lang=en&src=listed,INVL Technology,2024-09-18 16:02:00+03:00,Nasdaq Baltic,,
Procedure for listing of BluOr Bank AS bonds initiated,https://view.news.eu.nasdaq.com/view?id=b41fc1781b096121b65d7246fd261ac64&lang=en&src=notices,Nasdaq Riga,2024-09-18 15:54:55+03:00,Nasdaq Baltic,,
Changes in the Supervisory Board of Mainor Ülemiste AS,https://view.news.eu.nasdaq.com/view?id=b7740c94bb33dcc82eeab9a3eb6696804&lang=en&src=listed,Mainor Ülemiste,2024-09-18 15:13:01+03:00,Nasdaq Baltic,,
"Construction contract (Apartment building in Ovruch, Ukraine)",https://view.news.eu.nasdaq.com/view?id=be25d16c172785252f6271310081ead2f&lang=en&src=listed,Nordecon,2024-09-18 14:00:00+03:00,Nasdaq Baltic,,
Listing of Baltic Horizon Fund additional fund units on Baltic Fund List,https://view.news.eu.nasdaq.com/view?id=be5ea6da7c8628bec5c910b8d4b392172&lang=en&src=notices,Nasdaq Tallinn,2024-09-18 13:12:49+03:00,Nasdaq Baltic,,
“Sostinės bokštai“ announces the signing of the first lease agreements for the Hero business center,https://view.news.eu.nasdaq.com/view?id=b82671d8ceba4259d9a4d9927d771927a&lang=en&src=listed,Sostinės bokštai,2024-09-18 11:57:01+03:00,Nasdaq Baltic,,
Novaturas presents next summer destinations and the widest range of travels in the region,https://view.news.eu.nasdaq.com/view?id=b8200bee349cfceeee8b503a9416d81f3&lang=en&src=listed,Novaturas,2024-09-18 10:00:00+03:00,Nasdaq Baltic,,
"DelfinGroup bond issue is 1.5 times oversubscribed, demand reaches 22.3 million euros",https://view.news.eu.nasdaq.com/view?id=b4e5c4392333c63facdae718587a16e28&lang=en&src=listed,DelfinGroup,2024-09-18 09:37:05+03:00,Nasdaq Baltic,,
INVL BSGF Co-Invest Fund II established,https://view.news.eu.nasdaq.com/view?id=b03e131c60ca57b2ebd27a1d4c8cb2679&lang=en&src=listed,Invalda INVL,2024-09-18 09:15:00+03:00,Nasdaq Baltic,,
KN Energies subsidiary starts operations in Germany,https://view.news.eu.nasdaq.com/view?id=b6db905acfe8f97c623ff04c4873edf80&lang=en&src=listed,KN Energies,2024-09-18 09:00:00+03:00,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 17, 2024",https://view.news.eu.nasdaq.com/view?id=b36c27a1f4a9e022f35ef5913729d20ee&lang=en&src=listed,Nter Asset Management,2024-09-18 08:11:34+03:00,Nasdaq Baltic,,
On Transactions under Regulation No 596/2014,https://view.news.eu.nasdaq.com/view?id=b3df985df6e0d4d776eba42e51e8991ff&lang=en&src=listed,SAF Tehnika,2024-09-17 17:14:20+03:00,Nasdaq Baltic,,
Decision of the Board of AB East West Agro to repurchase its own shares,https://view.news.eu.nasdaq.com/view?id=b3aaaf07f614806abc0bc45e9ba3f0312&lang=en&src=listed,East West Agro,2024-09-17 10:36:42+03:00,Nasdaq Baltic,,
Estonian Government Bonds Are Now Listed on Nasdaq Baltic Market,https://view.news.eu.nasdaq.com/view?id=b6ea34c9ac1a17e5d449f38c916f37743&lang=en&src=notices,Nasdaq Vilnius,2024-09-17 10:00:00+03:00,Nasdaq Baltic,,
Estonian Government Bonds Are Now Listed on Nasdaq Baltic Market,https://view.news.eu.nasdaq.com/view?id=b0bced9151d2a74d842e96c3cac875567&lang=en&src=notices,Nasdaq Riga,2024-09-17 10:00:00+03:00,Nasdaq Baltic,,
Estonian Government Bonds Are Now Listed on Nasdaq Baltic Market,https://view.news.eu.nasdaq.com/view?id=b886984856b8a601b49cfc2e9a4b33f1b&lang=en&src=notices,Nasdaq Tallinn,2024-09-17 10:00:00+03:00,Nasdaq Baltic,,
On Transactions Under Regulation No 596/2014,https://view.news.eu.nasdaq.com/view?id=be7cbbd802ad4f5193b5a90d4f1a88ba7&lang=en&src=listed,MADARA Cosmetics,2024-09-17 09:59:07+03:00,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 16, 2024",https://view.news.eu.nasdaq.com/view?id=b9757e675c410f1929d14b59f8cd4549d&lang=en&src=listed,Nter Asset Management,2024-09-17 09:25:37+03:00,Nasdaq Baltic,,
Purchase of own shares of AB ”East West Agro”,https://view.news.eu.nasdaq.com/view?id=b9063319535f3d6cdbc2b38dd471dda64&lang=en&src=notices,Nasdaq Vilnius,2024-09-17 09:25:35+03:00,Nasdaq Baltic,,
J. Molner AS Consolidated interim report for the first 6 months of 2024 (unaudited),https://view.news.eu.nasdaq.com/view?id=b44e2e0b7fcdad0977558903f52754559&lang=en&src=listed,J.Molner,2024-09-17 09:00:00+03:00,Nasdaq Baltic,,
AS VIRŠI-A: A better price - the main criterion for choosing electricity services,https://view.news.eu.nasdaq.com/view?id=bc7d940204f55fb87b51951b4abd97da5&lang=en&src=listed,VIRŠI-A,2024-09-17 08:54:42+03:00,Nasdaq Baltic,,
Subsidiary of EfTEN Real Estate Fund AS finalized the sale of a property in the Tähesaju commercial area,https://view.news.eu.nasdaq.com/view?id=b3ad40e3b4f48cbe1680b5f524bae9a14&lang=en&src=listed,EfTEN Real Estate Fund,2024-09-17 08:00:00+03:00,Nasdaq Baltic,,
LHV Group results for August 2024,https://view.news.eu.nasdaq.com/view?id=b25edbdb2b70238c9883d9c9f777ee3c0&lang=en&src=listed,LHV Group,2024-09-17 08:00:00+03:00,Nasdaq Baltic,,
Baltic Horizon Fund publishes its NAV for August 2024,https://view.news.eu.nasdaq.com/view?id=bd65da579bfd1a626d278c322cc0d4821&lang=en&src=listed,Baltic Horizon Fund / Northern Horizon Capital,2024-09-16 19:10:00+03:00,Nasdaq Baltic,,
Listing of additional IPAS “INDEXO” shares on Baltic Main list,https://view.news.eu.nasdaq.com/view?id=b2eacbf5623f7fdf756ac47423626432a&lang=en&src=notices,Nasdaq Riga,2024-09-16 16:35:33+03:00,Nasdaq Baltic,,
Estonian Financial Intelligence Unit's fine to LHV Pank cancelled by court order,https://view.news.eu.nasdaq.com/view?id=b09377698d71aa758abf3d271d76d7001&lang=en&src=listed,LHV Group,2024-09-16 16:30:00+03:00,Nasdaq Baltic,,
Resolutions of the Extraordinary Meeting of Shareholders of AS DelfinGroup dated 16 September 2024,https://view.news.eu.nasdaq.com/view?id=b3e3a4e37aee86fa2f517b573d12eac37&lang=en&src=listed,DelfinGroup,2024-09-16 16:01:33+03:00,Nasdaq Baltic,,
Comments from the management of ELMO Rent AS on the Restructuring Advisor's report,https://view.news.eu.nasdaq.com/view?id=b61350543f9bfa80e4ecb1508e2dc25d3&lang=en&src=listed,Elmo Rent,2024-09-16 13:26:15+03:00,Nasdaq Baltic,,
The results of the primary placement auction of Lithuanian Government Eurobonds,https://view.news.eu.nasdaq.com/view?id=b63ef4eb8f0c9dbb53a12bbc356167bca&lang=en&src=notices,Nasdaq Vilnius,2024-09-16 12:15:25+03:00,Nasdaq Baltic,,
Baltic Horizon Fund closes private placement of new units,https://view.news.eu.nasdaq.com/view?id=bfdeca259511c9e45c79ab9c82e8a856b&lang=en&src=listed,Baltic Horizon Fund / Northern Horizon Capital,2024-09-16 10:30:00+03:00,Nasdaq Baltic,,
Nasdaq Welcomes Modera to Baltic First North Bond Market,https://view.news.eu.nasdaq.com/view?id=bbe9db8c7632f052fb08b3335e0dd5d8a&lang=en&src=notices,Nasdaq Riga,2024-09-16 10:00:00+03:00,Nasdaq Baltic,,
Nasdaq Welcomes Modera to Baltic First North Bond Market,https://view.news.eu.nasdaq.com/view?id=b2a2aa36dfe18c6687aa3113144f431ec&lang=en&src=notices,Nasdaq Tallinn,2024-09-16 10:00:00+03:00,Nasdaq Baltic,,
Nasdaq Welcomes Modera to Baltic First North Bond Market,https://view.news.eu.nasdaq.com/view?id=b1138a581ed7a89086c52c9df21a210ab&lang=en&src=notices,Nasdaq Vilnius,2024-09-16 10:00:00+03:00,Nasdaq Baltic,,
"Data on OMX Baltic Benchmark Fund issued shares as of September 13, 2024",https://view.news.eu.nasdaq.com/view?id=b583b74e0b2de3b150570173f6e9c0350&lang=en&src=listed,Nter Asset Management,2024-09-16 09:52:01+03:00,Nasdaq Baltic,,
The Shareholders' Meeting of Latvenergo AS will be held,https://view.news.eu.nasdaq.com/view?id=b67909f2a2a69f0f3825f1bdf07a33bfa&lang=en&src=listed,Latvenergo,2024-09-16 09:51:27+03:00,Nasdaq Baltic,,
AB East West Agro purchased it's own shares,https://view.news.eu.nasdaq.com/view?id=b977dba1868f80e15c35ba7703a9bb084&lang=en&src=listed,East West Agro,2024-09-16 09:33:23+03:00,Nasdaq Baltic,,
Aktsiaselts Infortar signed a share purchase agreement to acquire a 100% shareholding at Tallinna Raamatutrükikoja Osaühing,https://view.news.eu.nasdaq.com/view?id=bcb5b6c48fb84c1fef980100a67f386a9&lang=en&src=listed,Infortar,2024-09-16 09:30:00+03:00,Nasdaq Baltic,,
REMINDER: AS DelfinGroup bonds public offering,https://view.news.eu.nasdaq.com/view?id=bc7f58366f875ec3efb23e224f8327ada&lang=en&src=notices,Nasdaq Tallinn,2024-09-16 09:15:00+03:00,Nasdaq Baltic,,
REMINDER: AS DelfinGroup bonds public offering,https://view.news.eu.nasdaq.com/view?id=b446d41b912d3e7e7fa81029668ba7278&lang=en&src=notices,Nasdaq Vilnius,2024-09-16 09:15:00+03:00,Nasdaq Baltic,,
REMINDER: AS DelfinGroup bonds public offering,https://view.news.eu.nasdaq.com/view?id=b411ff39e6273a2c15e3205cb548f6f5e&lang=en&src=notices,Nasdaq Riga,2024-09-16 09:15:00+03:00,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 38/2024,https://view.news.eu.nasdaq.com/view?id=b4c7b72b1ce8bba836d1836a0c63d5890&lang=en&src=notices,Nasdaq Vilnius,2024-09-16 09:00:00+03:00,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 38/2024,https://view.news.eu.nasdaq.com/view?id=bf963473d18cc3a655636caadb6014b1b&lang=en&src=notices,Nasdaq Tallinn,2024-09-16 09:00:00+03:00,Nasdaq Baltic,,
Nasdaq Baltic investor calendar - week 38/2024,https://view.news.eu.nasdaq.com/view?id=bb135cbf5684b34991e7db1890261c689&lang=en&src=notices,Nasdaq Riga,2024-09-16 09:00:00+03:00,Nasdaq Baltic,,
Bigbank AS results for August 2024,https://view.news.eu.nasdaq.com/view?id=b5f3e71dfd488e2757de5faa90c239af6&lang=en&src=listed,Bigbank AS,2024-09-13 23:15:00+03:00,Nasdaq Baltic,,
PRANEŠIMAS DĖL BENDROVĖS 2024 m. I PUSMEČIO TARPINĖS FINANSINĖS ATSKAITOMYBĖS,https://view.news.eu.nasdaq.com/view?id=b9e8bc1d9fd1bd425bdac0340edf520da&lang=lt&src=listed,Integre Trans,2024-09-13 19:14:30+03:00,Nasdaq Baltic,,
AB Kauno energija has signed a loan agreement with the European Investment Bank,https://view.news.eu.nasdaq.com/view?id=bed160b94268f03ac470cd5b396384c36&lang=en&src=listed,Kauno Energija,2024-09-13 17:00:00+03:00,Nasdaq Baltic,,
Decisions adopted at the Extraordinary General Meeting of Shareholders of LITGRID AB,https://view.news.eu.nasdaq.com/view?id=b3d3d87d5a7fed44653a68122d9cdd376&lang=en&src=listed,LITGRID,2024-09-13 16:00:00+03:00,Nasdaq Baltic,,
Changes in the debt obligations of AS Tallinna Sadam,https://view.news.eu.nasdaq.com/view?id=b3d014562c9a9b2a4fce2a3d320b4f917&lang=en&src=listed,Tallinna Sadam,2024-09-13 16:00:00+03:00,Nasdaq Baltic,,
"Eco Baltia Group's company, Eco Baltia vide, will provide maintenance of transport structures in Riga for five years",https://view.news.eu.nasdaq.com/view?id=bd7543e43b891d60dcc4ed8f77368257b&lang=en&src=listed,Eco Baltia,2024-09-13 15:45:34+03:00,Nasdaq Baltic,,
Announcement on changes in management of a subsidiary company,https://view.news.eu.nasdaq.com/view?id=b96f58cc7d7723afc71d276106cc15350&lang=en&src=listed,Amber Beverage Group Holding S.à r.l.,2024-09-13 15:34:11+03:00,Nasdaq Baltic,,
Moody's affirms Latvenergo AS rating,https://view.news.eu.nasdaq.com/view?id=b18b7fe811d46a4744fadd581bd92447b&lang=en&src=listed,Latvenergo,2024-09-13 15:10:25+03:00,Nasdaq Baltic,,
Notification of Changes to the Management Board of AS “Amber Latvijas balzams”,https://view.news.eu.nasdaq.com/view?id=b0efe1e976f40c05ad5f75f9db2e7e4c5&lang=en&src=listed,Amber Latvijas balzams,2024-09-13 14:05:54+03:00,Nasdaq Baltic,,
"NOTIFICATION OF NEO FINANCE, AB REGARDING TRANSACTIONS CONDUCTED BY PERSONS CLOSELY ASSOCIATED WITH PERSONS DISCHARGING MANAGERIAL RESPONSIBILITIES WITHIN AN ISSUER",https://view.news.eu.nasdaq.com/view?id=ba54cbd5706cb3c5f92fc525109635579&lang=en&src=listed,NEO Finance,2024-09-13 13:00:00+03:00,Nasdaq Baltic,,
