company
"Punktid Technologies"
"SAF Tehnika"
"Saunum Group"
"Frigate"
"BluOr Bank"
"CleanR Grupa"
"Enefit Green"
"DelfinGroup"
"Attīstības finanšu institūcija Altum"
"Partnerystes projektai keturi"
"Nordecon"
"EfTEN Real Estate Fund"
"Novaturas"
"Baltic Horizon Fund / Northern Horizon Capital"
"Amber Latvijas balzams"
"Robus Group"
"Merko Ehitus"
"Elmo Rent"
"MADARA Cosmetics"
"Eco Baltia"
"Tallinna Vesi"
"Panevezio Statybos Trestas"
"EfTEN United Property Fund / EfTEN Capital"
"Longo Group"
"INDEXO"
"Hestio"
"Rokiskio Suris"
"J.Molner"
"Pieno Zvaigzdes"
"Apranga"
"Nter Asset Management"
"Eleving Group"
"Mainor Ülemiste"
"iCotton"
"Tuul Mobility"
"Capitalica Baltic Real Estate Fund I"
"K2 LT"
"Sostinės bokštai"
"Infortar"
"Legal Balance"
"Invalda INVL"
"Consilium optimum"
"Latvenergo"
"Tallinna Sadam"
"CAPITALICA Z114 REAL ESTATE FUND"
"Estonian Japan Trading Company"
"NEO Finance"
"Utenos Trikotazas"
"Integre Trans"
"IuteCredit Finance S.a r.l"
"Amber Grid"
"KN Energies"
"Nasdaq Vilnius"
"Grab2Go"
"VIRŠI-A"
"INVL Baltic Farmland"
"Zemaitijos Pienas"
"East West Agro"
"INVL Baltic Real Estate"
"EPSO-G"
"INVL Technology"
"Siauliu Bankas"
"Amber Beverage Group Holding S.à r.l."
"Bigbank AS"
"TKM Grupp"
"LITGRID"
"Sun Finance Treasury Limited"
"Nasdaq Tallinn"
"LHV Group"
"Kauno Energija"
"Vilniaus Baldai"
"Nasdaq Riga"
"Akola group"
"Civinity"
