company
"Alma Media"
"Amaroq Minerals Ltd."
"AQ Group AB"
"Arion banki hf."
"Atrium Ljungberg AB"
"Bactiguard Holding AB"
"Baltic Horizon Fund / Northern Horizon Capital"
"Bavarian Nordic A/S"
"Bong AB"
"Brd. Klee A/S"
"Cantargia AB"
"Cargotec"
"CoinShares International Ltd"
"Consti Oyj"
"C WorldWide"
"Danmarks Nationalbank"
"Danske Invest"
"DLR Kredit A/S"
"Doro AB"
"DSV A/S"
"Duroc AB"
"Eezy Oyj"
"Egetis Therapeutics AB"
"Endomines Finland Oyj"
"Enea AB"
"Flerie AB"
"Gofore Oyj"
"Hagar hf."
"HKFoods Oyj"
"HMS Networks AB"
"Holmen AB"
"Holmström Fastigheter Holding AB"
"Investeringsforeningen Great Dane"
"Investeringsforeningen PortfolioManager"
"Investment AB Öresund"
"ITAB Shop Concept AB"
"Jetpak Top Holding AB"
"Jyske Bank A/S"
"Keskisuomalainen Oyj"
"Kesko Oyj"
"Kinnevik, Investment AB"
"Kuntarahoitus Oyj."
"Lánamál ríkisins"
"LKAB Luossavaara-Kiirunavaara AB"
"Martela Oyj"
"Metsä Board Oyj"
"Míla Holding hf."
"Millicom International Cellular S.A."
"Nanologica AB"
"NAXS AB"
"Netcompany Group A/S"
"Nokia"
"Novedo Holding AB"
"Nyfosa AB"
"Nykredit Realkredit A/S"
"Open Infra AB (publ)"
"Optomed Oyj"
"Orkuveita Reykjavíkur"
"Orphazyme A/S"
"Ovaro Kiinteistösijoitus Oyj"
"Puuilo Oyj"
"Reitir fasteignafélag hf."
"Relais Group Oyj"
"Remedy Entertainment Oyj"
"Rockwool A/S"
"Sampo"
"Scandic Hotels Group AB"
"Scandinavian Investment Group A/S"
"Senzime AB"
"Síldarvinnslan hf"
"Sparinvest"
"Sparinvest SICAV"
"Storskogen Group AB"
"Swedbank AB"
"Sydbank A/S"
"Tele2 AB"
"Terveystalo Oyj"
"Tornator Oyj"
"United Bankers Oyj"
"Værdipapirfonden Sparindex"
"Valmet Corporation"
"Valoe Oyj"
"Wästbygg Gruppen AB"
"Xbrane Biopharma AB"
